Unnamed: 0,rating,title,text,topic
0,5.0,You won’t regret this purchase.,"Got my new eyebrows in mail today.  Magically my baby caterpillars grew into gorgeous mama size ones.  Papa caterpillar loved the look.  And the eyebrow pen, tweezers and brow shaper templates were just an extra nice bonus!  Thank you.",Complete Brow Kit
1,5.0,Very Good Product,This product comes with a brow razor and stencils for filling in eyebrows.  The color chestnut is good for brown browns & it goes on nicely without being too heavy a color.,Complete Brow Kit
2,5.0,Worth it!,This product works surprisingly well. The chestnut is a good natural color (my hair is brownish black. It was easy to apply and didn’t smear. The extra items that come in the kit are nice. Great product for the price.,Complete Brow Kit
3,5.0,Looks natural.,So easy to use. I have been considering microbladling my eyebrows which is crazy expensive. I ordered this eyebrow pen and now I will hold off on spending the money to do the microblading. Best eyebrow product I’ve used. Looks natural and goes on easy!,Complete Brow Kit
4,5.0,"Great value, looks natural","I've used these eyebrow markers for a long time. Some dry out faster than others, but for the price, you can't go wrong! Plus this particular set came with bonuses of a tweezers and shapers. The best that I have found for the money.",Complete Brow Kit
5,5.0,Nice brow pen and great price.,"Having had my brows microbladed and having that fade, I wanted a eyebrow pen that would mimic the work I had done. This pen stays, fills in nicely and is realistic to brow hairs. Recommend double checking the colors when you order.",Complete Brow Kit
6,5.0,Works great,"Great product. There was more in the package than expected. A little razor, stencil and tattoo pen with easy to follow directions. It works as expected.",Complete Brow Kit
7,5.0,I like it!,I barely have to use any to darken my brows. Does not seem to wipe off easily.,Complete Brow Kit
8,5.0,Love my Brows Again,Works exactly like the description,Complete Brow Kit
9,5.0,Best eyebrow pencil/pen I've tried,"I have very sparse eyebrows so powders, gels, and pencils always looked fake. I bought this pen to try before considering real microblading. I am so happy with this product. You can really control how much product you put on your brows, and the tri-tip is awesome at creating a more authentic look. It also stays on much longer than other products I have tried. I will definitely buy this again and highly recommend!",Complete Brow Kit
10,1.0,Horrible,It’s horrible it watered down the color is off compared to others I used will be returning,Product Drying Out
11,5.0,Awesome Product,This eyebrow pen is so easy to use and lives up to its name of being smudge proof and waterproof!  I've used other eyebrow pens and did not get the real life-like look of a true eyebrow like I've gotten with this product. I will definitely order again!,Complete Brow Kit
12,1.0,Waste of money,Very technique sensitive. It was mostly gone after work out swaet. I wouldn't recommend it.,Product Drying Out
13,5.0,It works,This pen works well and looks like real hairs in eyebrows.,Complete Brow Kit
14,5.0,Great,Works as expected great product,Value for Money
15,4.0,This is the best brown pencil.,This brow pencil is amazing.  I’m on my second one.  It last all day .  I use it to shade in after lining my brow with different product.  The darker shade of brown is more of a regular brown.  I wish there was a slightly darker shade.,Complete Brow Kit
16,5.0,Fix for thinning brows,Came quickly. Will use to fill in thinning brows,Complete Brow Kit
17,5.0,Great! Saves me from having to spend money on henna tint!,"I tried the henna tint a few times and it doesn't last for me.  I guess it's because I don't have eyebrow hair all the way and the tint doesn't stick to skin more than a couple of days.  No matter how much I try to protect it from oil, makeup remover, face wash, etc.  Since getting this eye brown pen with the hairlike strokes, it lasts all day.  It even comes with a stencil , tweezers, and eyebrow shaper. Great buy.  I would recommend!",Complete Brow Kit
